Name: A101, Instruction: Head southwest on A101, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: Saint Olav's Square, Instruction: Turn sharp left onto Saint Olav's Square, Distance: 266.3 meters, Time: 191.8 seconds
Name: Clack Street, Instruction: Turn right onto Clack Street, Distance: 105.4 meters, Time: 75.9 seconds
Name: Seth Street, Instruction: Turn left onto Seth Street, Distance: 86.1 meters, Time: 62.0 seconds
Name: Swan Road, Instruction: Turn right onto Swan Road, Distance: 14.4 meters, Time: 10.4 seconds
Name: Albatross Way, Instruction: Turn left onto Albatross Way, Distance: 230.5 meters, Time: 166.0 seconds
Name: -, Instruction: Continue straight, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 85.2 meters, Time: 61.3 seconds
Name: -, Instruction: Turn right, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: Canada Street, Instruction: Turn right onto Canada Street, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 271.2 meters, Time: 195.2 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Keep right, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn slight right, Distance: 72.6 meters, Time: 52.3 seconds
Name: -, Instruction: Turn left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 39.1 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
