Name: Peck Seah Street, Instruction: Head south on Peck Seah Street, Distance: 70.0 meters, Time: 50.4 seconds
Name: Gopeng Street, Instruction: Turn right onto Gopeng Street, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: Tras Street, Instruction: Turn right onto Tras Street, Distance: 2.1 meters, Time: 1.5 seconds
Name: Tras Street, Instruction: Turn slight right onto Tras Street, Distance: 199.6 meters, Time: 143.7 seconds
Name: -, Instruction: Keep right, Distance: 44.8 meters, Time: 32.2 seconds
Name: Yan Kit Road, Instruction: Turn sharp right onto Yan Kit Road, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 183.1 meters, Time: 131.8 seconds
Name: -, Instruction: Turn left, Distance: 42.0 meters, Time: 30.2 seconds
Name: -, Instruction: Turn left, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 267.9 meters, Time: 192.9 seconds
Name: -, Instruction: Turn left, Distance: 112.4 meters, Time: 80.9 seconds
Name: -, Instruction: Turn left, Distance: 138.1 meters, Time: 99.4 seconds
Name: -, Instruction: Turn left, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn left, Distance: 243.1 meters, Time: 175.0 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Keep right, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: Outram Road, Instruction: Turn right onto Outram Road, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn right, Distance: 61.6 meters, Time: 44.4 seconds
Name: Outram Road, Instruction: Turn right onto Outram Road, Distance: 131.3 meters, Time: 94.5 seconds
Name: Zion Road, Instruction: Keep left onto Zion Road, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Keep right, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Continue straight, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Continue straight, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 199.5 meters, Time: 143.6 seconds
Name: -, Instruction: Turn left, Distance: 172.3 meters, Time: 124.1 seconds
Name: -, Instruction: Turn right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn slight right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
