Name: Worcester Road, Instruction: Head southwest on Worcester Road, Distance: 23.0 meters, Time: 16.5 seconds
Name: Ripon Crescent, Instruction: Keep right onto Ripon Crescent, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 299.6 meters, Time: 215.7 seconds
Name: -, Instruction: Turn left, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 949.2 meters, Time: 683.5 seconds
Name: -, Instruction: Keep left, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 226.0 meters, Time: 162.7 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 133.0 meters, Time: 95.7 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn left, Distance: 98.4 meters, Time: 70.8 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: Brian Slater Way, Instruction: Turn left onto Brian Slater Way, Distance: 10.3 meters, Time: 7.4 seconds
Name: Garin Way, Instruction: Turn right onto Garin Way, Distance: 239.1 meters, Time: 172.2 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
