Name: Hall Place, Instruction: Head south on Hall Place, Distance: 45.9 meters, Time: 33.1 seconds
Name: Nelson Street, Instruction: Turn right onto Nelson Street, Distance: 305.7 meters, Time: 220.1 seconds
Name: -, Instruction: Turn right, Distance: 118.1 meters, Time: 85.0 seconds
Name: -, Instruction: Turn right, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn slight left, Distance: 464.5 meters, Time: 334.5 seconds
Name: Durham Street, Instruction: Turn left onto Durham Street, Distance: 341.5 meters, Time: 245.9 seconds
Name: Guernsey Avenue, Instruction: Turn left onto Guernsey Avenue, Distance: 91.7 meters, Time: 66.0 seconds
Name: Lillas Place, Instruction: Turn left onto Lillas Place, Distance: 189.9 meters, Time: 136.7 seconds
Name: Lillas Place, Instruction: Turn left onto Lillas Place, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at Lillas Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
