Name: Ingrid Road, Instruction: Head southwest on Ingrid Road, Distance: 142.9 meters, Time: 102.9 seconds
Name: Stella Road, Instruction: Turn right onto Stella Road, Distance: 133.0 meters, Time: 95.8 seconds
Name: Dawn Road, Instruction: Turn left onto Dawn Road, Distance: 130.7 meters, Time: 94.1 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.7 seconds
Name: Montague Drive, Instruction: Turn left onto Montague Drive, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn right, Distance: 156.6 meters, Time: 112.7 seconds
Name: -, Instruction: Turn right, Distance: 66.5 meters, Time: 47.9 seconds
Name: 2nd Road, Instruction: Turn left onto 2nd Road, Distance: 326.3 meters, Time: 234.9 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 81.8 meters, Time: 58.9 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.4 seconds
Name: Montague Drive, Instruction: Turn right onto Montague Drive, Distance: 107.5 meters, Time: 77.4 seconds
Name: -, Instruction: Turn right, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn left, Distance: 133.9 meters, Time: 96.4 seconds
Name: 5th Road, Instruction: Turn left onto 5th Road, Distance: 38.7 meters, Time: 27.9 seconds
Name: Montague Drive, Instruction: Turn right onto Montague Drive, Distance: 179.0 meters, Time: 128.9 seconds
Name: -, Instruction: Turn right, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
