Name: Ming Street, Instruction: Head west on Ming Street, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn slight left, Distance: 39.3 meters, Time: 28.3 seconds
Name: West India Dock Road, Instruction: Turn left onto West India Dock Road, Distance: 5.0 meters, Time: 3.6 seconds
Name: Garford Street, Instruction: Turn sharp right onto Garford Street, Distance: 26.2 meters, Time: 18.8 seconds
Name: Garford Street, Instruction: Keep left onto Garford Street, Distance: 143.4 meters, Time: 103.3 seconds
Name: -, Instruction: Turn left, Distance: 84.8 meters, Time: 61.1 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 57.7 meters, Time: 41.6 seconds
Name: Milligan Street, Instruction: Turn left onto Milligan Street, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn left, Distance: 41.9 meters, Time: 30.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
