Name: Sari Place, Instruction: Head northeast on Sari Place, Distance: 76.8 meters, Time: 55.3 seconds
Name: Tawāpou Close, Instruction: Turn left onto Tawāpou Close, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 112.0 meters, Time: 80.6 seconds
Name: -, Instruction: Turn left, Distance: 170.9 meters, Time: 123.0 seconds
Name: -, Instruction: Turn left, Distance: 146.2 meters, Time: 105.3 seconds
Name: -, Instruction: Turn left, Distance: 108.5 meters, Time: 78.1 seconds
Name: -, Instruction: Turn right, Distance: 167.6 meters, Time: 120.6 seconds
Name: -, Instruction: Turn right, Distance: 320.1 meters, Time: 230.5 seconds
Name: Spargo Road, Instruction: Turn left onto Spargo Road, Distance: 9.8 meters, Time: 7.0 seconds
Name: Royal Road, Instruction: Turn right onto Royal Road, Distance: 87.2 meters, Time: 62.8 seconds
Name: -, Instruction: Turn left, Distance: 298.3 meters, Time: 214.8 seconds
Name: -, Instruction: Turn right, Distance: 50.6 meters, Time: 36.5 seconds
Name: -, Instruction: Continue straight, Distance: 239.9 meters, Time: 172.7 seconds
Name: -, Instruction: Turn slight right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Keep left, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
