Name: Simei Street 1, Instruction: Head southwest on Simei Street 1, Distance: 703.4 meters, Time: 506.4 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 677.8 meters, Time: 488.0 seconds
Name: -, Instruction: Turn right, Distance: 21.4 meters, Time: 15.4 seconds
Name: Bedok Industrial Park E, Instruction: Turn left onto Bedok Industrial Park E, Distance: 5.4 meters, Time: 3.9 seconds
Name: Bedok Industrial Park E, Instruction: Turn right onto Bedok Industrial Park E, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 140.7 meters, Time: 101.3 seconds
Name: Bedok Industrial Park E, Instruction: Turn right onto Bedok Industrial Park E, Distance: 126.9 meters, Time: 91.3 seconds
Name: -, Instruction: Turn left, Distance: 41.6 meters, Time: 30.0 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
