Name: Bastion Street, Instruction: Head north on Bastion Street, Distance: 86.4 meters, Time: 62.2 seconds
Name: -, Instruction: Turn right, Distance: 125.5 meters, Time: 90.3 seconds
Name: -, Instruction: Keep left, Distance: 188.2 meters, Time: 135.5 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight left, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 214.5 meters, Time: 154.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 200.6 meters, Time: 144.4 seconds
Name: -, Instruction: Keep right, Distance: 113.6 meters, Time: 81.8 seconds
Name: -, Instruction: Keep right, Distance: 300.3 meters, Time: 216.2 seconds
Name: Grand Atrium, Instruction: Turn slight left onto Grand Atrium, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn left, Distance: 89.8 meters, Time: 64.7 seconds
Name: -, Instruction: Turn right, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Continue straight, Distance: 110.4 meters, Time: 79.5 seconds
Name: -, Instruction: Turn left, Distance: 134.2 meters, Time: 96.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn slight left, Distance: 131.2 meters, Time: 94.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
