Name: Avenida Huitzilíhuitl, Instruction: Head southwest on Avenida Huitzilíhuitl, Distance: 604.1 meters, Time: 434.9 seconds
Name: Avenida Insurgentes Norte, Instruction: Turn slight left onto Avenida Insurgentes Norte, Distance: 38.8 meters, Time: 28.0 seconds
Name: Calle Huehuecalotl, Instruction: Turn left onto Calle Huehuecalotl, Distance: 146.5 meters, Time: 105.5 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Turn right, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Keep left, Distance: 19.4 meters, Time: 13.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 85.8 meters, Time: 61.8 seconds
Name: Avenida Prolongación Misterios, Instruction: Turn left onto Avenida Prolongación Misterios, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 105.8 meters, Time: 76.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
