Name: Merton Road, A219, Instruction: Head southeast on Merton Road, A219, Distance: 21.6 meters, Time: 15.5 seconds
Name: Quicks Road, Instruction: Turn left onto Quicks Road, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 325.8 meters, Time: 234.5 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn slight left, Distance: 195.3 meters, Time: 140.6 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Keep right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 237.5 meters, Time: 171.0 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: High Path, Instruction: Turn left onto High Path, Distance: 167.7 meters, Time: 120.7 seconds
Name: Station Road, Instruction: Turn right onto Station Road, Distance: 132.2 meters, Time: 95.2 seconds
Name: -, Instruction: Turn right, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 86.3 meters, Time: 62.1 seconds
Name: -, Instruction: Continue straight, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn left, Distance: 43.8 meters, Time: 31.6 seconds
Name: Watermill Way, Instruction: Turn right onto Watermill Way, Distance: 31.9 meters, Time: 22.9 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 44.7 meters, Time: 32.1 seconds
Name: Runnymede, Instruction: Turn left onto Runnymede, Distance: 44.1 meters, Time: 31.8 seconds
Name: Yarborough Road, Instruction: Turn right onto Yarborough Road, Distance: 67.6 meters, Time: 48.7 seconds
Name: Liberty Avenue, Instruction: Turn left onto Liberty Avenue, Distance: 10.3 meters, Time: 7.4 seconds
Name: Willow View, Instruction: Turn right onto Willow View, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Keep left, Distance: 64.5 meters, Time: 46.4 seconds
Name: Ruskin Way, Instruction: Turn right onto Ruskin Way, Distance: 93.0 meters, Time: 67.0 seconds
Name: Brangwyn Crescent, Instruction: Turn sharp left onto Brangwyn Crescent, Distance: 94.2 meters, Time: 67.8 seconds
Name: -, Instruction: Turn slight left, Distance: 37.3 meters, Time: 26.8 seconds
Name: Hogarth Crescent, Instruction: Turn right onto Hogarth Crescent, Distance: 77.3 meters, Time: 55.6 seconds
Name: -, Instruction: Arrive at Hogarth Crescent, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
