Name: Rue Mozart, Instruction: Head northwest on Rue Mozart, Distance: 180.9 meters, Time: 130.3 seconds
Name: Boulevard Hippolyte Marquès, Instruction: Turn left onto Boulevard Hippolyte Marquès, Distance: 143.8 meters, Time: 103.6 seconds
Name: Avenue de la Porte de Choisy, Instruction: Turn right onto Avenue de la Porte de Choisy, Distance: 321.5 meters, Time: 231.5 seconds
Name: Boulevard Masséna, Instruction: Continue straight onto Boulevard Masséna, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 334.9 meters, Time: 241.1 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 55.5 meters, Time: 40.0 seconds
Name: Rue Caillaux, Instruction: Turn left onto Rue Caillaux, Distance: 306.1 meters, Time: 220.4 seconds
Name: -, Instruction: Turn right, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Turn left, Distance: 70.8 meters, Time: 51.0 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: Rue Bourgon, Instruction: Turn left onto Rue Bourgon, Distance: 124.2 meters, Time: 89.4 seconds
Name: Rue Damesme, Instruction: Turn right onto Rue Damesme, Distance: 9.8 meters, Time: 7.1 seconds
Name: Rue du Docteur Leray, Instruction: Turn left onto Rue du Docteur Leray, Distance: 40.0 meters, Time: 28.8 seconds
Name: Rue Dieulafoy, Instruction: Turn right onto Rue Dieulafoy, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 117.4 meters, Time: 84.5 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
