Name: Turnberry Avenue, Instruction: Head east on Turnberry Avenue, Distance: 44.2 meters, Time: 31.9 seconds
Name: Silverthorn Avenue, Instruction: Turn right onto Silverthorn Avenue, Distance: 216.0 meters, Time: 155.5 seconds
Name: Rockwell Avenue, Instruction: Turn left onto Rockwell Avenue, Distance: 129.5 meters, Time: 93.3 seconds
Name: Blackthorn Avenue, Instruction: Turn right onto Blackthorn Avenue, Distance: 247.1 meters, Time: 177.9 seconds
Name: -, Instruction: Turn left, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 53.3 meters, Time: 38.4 seconds
Name: Prescott Avenue, Instruction: Turn right onto Prescott Avenue, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 187.1 meters, Time: 134.7 seconds
Name: -, Instruction: Turn right, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 228.3 meters, Time: 164.4 seconds
Name: -, Instruction: Keep right, Distance: 254.7 meters, Time: 183.4 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 121.9 meters, Time: 87.7 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 97.2 meters, Time: 70.0 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 73.2 meters, Time: 52.7 seconds
Name: -, Instruction: Keep right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 63.4 meters, Time: 45.7 seconds
Name: -, Instruction: Turn right, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
