Name: Bayerwaldstraße, Instruction: Head north on Bayerwaldstraße, Distance: 68.7 meters, Time: 49.4 seconds
Name: -, Instruction: Turn right, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 284.9 meters, Time: 205.1 seconds
Name: -, Instruction: Keep left, Distance: 16.3 meters, Time: 11.7 seconds
Name: Hofer Straße, Instruction: Turn left onto Hofer Straße, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: Neubiberger Straße, Instruction: Turn sharp left onto Neubiberger Straße, Distance: 12.2 meters, Time: 8.8 seconds
Name: Wichernweg, Instruction: Turn sharp right onto Wichernweg, Distance: 160.1 meters, Time: 115.3 seconds
Name: -, Instruction: Keep right, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 268.3 meters, Time: 193.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
