Name: Ferguson Street, Instruction: Head south on Ferguson Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 310.0 meters, Time: 223.2 seconds
Name: Garden Street, Instruction: Turn left onto Garden Street, Distance: 172.0 meters, Time: 123.8 seconds
Name: Garden Street, Instruction: Enter the roundabout and take the 2nd exit onto Garden Street, Distance: 180.2 meters, Time: 129.7 seconds
Name: Garden Street, Instruction: Enter the roundabout and take the 2nd exit onto Garden Street, Distance: 164.2 meters, Time: 118.2 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn slight left, Distance: 233.6 meters, Time: 168.2 seconds
Name: -, Instruction: Turn right, Distance: 240.6 meters, Time: 173.2 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
