Name: Wolseley Street, Instruction: Head east on Wolseley Street, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Turn right, Distance: 64.1 meters, Time: 46.1 seconds
Name: -, Instruction: Turn left, Distance: 116.7 meters, Time: 84.0 seconds
Name: -, Instruction: Turn left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Continue straight, Distance: 46.8 meters, Time: 33.7 seconds
Name: Marine Street, Instruction: Turn right onto Marine Street, Distance: 230.3 meters, Time: 165.8 seconds
Name: Enid Street, Instruction: Turn right onto Enid Street, Distance: 76.2 meters, Time: 54.9 seconds
Name: -, Instruction: Turn left, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
