Name: Brucknerstraße, Instruction: Head south on Brucknerstraße, Distance: 18.0 meters, Time: 13.0 seconds
Name: Prinzregentenstraße, Instruction: Turn right onto Prinzregentenstraße, Distance: 108.3 meters, Time: 78.0 seconds
Name: -, Instruction: Turn left, Distance: 23.0 meters, Time: 16.6 seconds
Name: Prinzregentenstraße, Instruction: Turn right onto Prinzregentenstraße, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 370.6 meters, Time: 266.9 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Schneckenburgerstraße, Instruction: Turn right onto Schneckenburgerstraße, Distance: 25.1 meters, Time: 18.1 seconds
Name: Schneckenburgerstraße, Instruction: Turn left onto Schneckenburgerstraße, Distance: 33.0 meters, Time: 23.7 seconds
Name: Schneckenburgerstraße, Instruction: Turn right onto Schneckenburgerstraße, Distance: 7.6 meters, Time: 5.5 seconds
Name: Walter-Heerde-Weg, Instruction: Turn left onto Walter-Heerde-Weg, Distance: 121.4 meters, Time: 87.4 seconds
Name: -, Instruction: Turn right, Distance: 252.2 meters, Time: 181.5 seconds
Name: Einsteinstraße, Instruction: Continue straight onto Einsteinstraße, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn right, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Turn slight right, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Keep left, Distance: 74.1 meters, Time: 53.3 seconds
Name: -, Instruction: Turn right, Distance: 184.7 meters, Time: 133.0 seconds
Name: -, Instruction: Turn left, Distance: 119.5 meters, Time: 86.0 seconds
Name: Eggernstraße, Instruction: Turn right onto Eggernstraße, Distance: 110.5 meters, Time: 79.6 seconds
Name: Preysingplatz, Instruction: Turn slight left onto Preysingplatz, Distance: 117.3 meters, Time: 84.4 seconds
Name: Holzhofstraße, Instruction: Continue straight onto Holzhofstraße, Distance: 107.6 meters, Time: 77.5 seconds
Name: Kellerstraße, Instruction: Turn right onto Kellerstraße, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 93.4 meters, Time: 67.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
