Name: Moy Place, Instruction: Head south on Moy Place, Distance: 45.8 meters, Time: 33.0 seconds
Name: Millisle Place, Instruction: Turn right onto Millisle Place, Distance: 95.3 meters, Time: 68.6 seconds
Name: Maghera Drive, Instruction: Turn right onto Maghera Drive, Distance: 207.1 meters, Time: 149.1 seconds
Name: Maghera Drive, Instruction: Keep right onto Maghera Drive, Distance: 267.2 meters, Time: 192.4 seconds
Name: Aclare Place, Instruction: Turn right onto Aclare Place, Distance: 81.6 meters, Time: 58.8 seconds
Name: -, Instruction: Turn right, Distance: 58.4 meters, Time: 42.1 seconds
Name: -, Instruction: Turn left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 48.8 meters, Time: 35.2 seconds
Name: -, Instruction: Turn left, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Turn left, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Keep left, Distance: 113.3 meters, Time: 81.6 seconds
Name: Haven Drive, Instruction: Keep right onto Haven Drive, Distance: 19.3 meters, Time: 13.9 seconds
Name: Haven Drive, Instruction: Enter the roundabout and take the 3rd exit onto Haven Drive, Distance: 224.7 meters, Time: 161.8 seconds
Name: Guys Road, Instruction: Turn left onto Guys Road, Distance: 132.7 meters, Time: 95.5 seconds
Name: Guys Road, Instruction: Keep left onto Guys Road, Distance: 14.5 meters, Time: 10.4 seconds
Name: Guys Road, Instruction: Enter the roundabout and take the 3rd exit onto Guys Road, Distance: 161.8 meters, Time: 116.5 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 76.5 meters, Time: 55.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
