Name: Cleveland Avenue, Instruction: Head southwest on Cleveland Avenue, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn right, Distance: 69.8 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 203.5 meters, Time: 146.5 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 318.9 meters, Time: 229.6 seconds
Name: Wilton Crescent, Instruction: Turn left onto Wilton Crescent, Distance: 283.3 meters, Time: 204.0 seconds
Name: Fairlawn Road, Instruction: Continue straight onto Fairlawn Road, Distance: 198.7 meters, Time: 143.1 seconds
Name: Dundonald Road, Instruction: Turn right onto Dundonald Road, Distance: 124.2 meters, Time: 89.4 seconds
Name: -, Instruction: Turn right, Distance: 55.2 meters, Time: 39.8 seconds
Name: Graham Road, Instruction: Turn left onto Graham Road, Distance: 218.1 meters, Time: 157.1 seconds
Name: Hartfield Road, A219, Instruction: Turn left onto Hartfield Road, A219, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 80.6 meters, Time: 58.1 seconds
Name: -, Instruction: Continue straight, Distance: 10.7 meters, Time: 7.7 seconds
Name: The Broadway, Instruction: Turn left onto The Broadway, Distance: 134.5 meters, Time: 96.9 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 96.7 meters, Time: 69.7 seconds
Name: -, Instruction: Keep right, Distance: 292.5 meters, Time: 210.6 seconds
Name: Chadwick Avenue, Instruction: Turn left onto Chadwick Avenue, Distance: 27.9 meters, Time: 20.1 seconds
Name: Bradshaw Close, Instruction: Turn right onto Bradshaw Close, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
