Name: Hepburn Street, Instruction: Head south on Hepburn Street, Distance: 132.0 meters, Time: 95.1 seconds
Name: -, Instruction: Keep left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 108.5 meters, Time: 78.1 seconds
Name: -, Instruction: Turn left, Distance: 139.5 meters, Time: 100.4 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Pollen Street, Instruction: Turn left onto Pollen Street, Distance: 235.3 meters, Time: 169.4 seconds
Name: Great North Road, Instruction: Turn right onto Great North Road, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Turn left, Distance: 108.0 meters, Time: 77.8 seconds
Name: -, Instruction: Turn right, Distance: 149.0 meters, Time: 107.3 seconds
Name: -, Instruction: Turn left, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn left, Distance: 154.1 meters, Time: 110.9 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: Haslett Street, Instruction: Turn right onto Haslett Street, Distance: 15.9 meters, Time: 11.5 seconds
Name: Northwestern Path, Instruction: Turn left onto Northwestern Path, Distance: 226.5 meters, Time: 163.0 seconds
Name: Northwestern Path, Instruction: Keep right onto Northwestern Path, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn left, Distance: 205.3 meters, Time: 147.8 seconds
Name: -, Instruction: Turn left, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn slight right, Distance: 62.0 meters, Time: 44.7 seconds
Name: -, Instruction: Turn right, Distance: 55.6 meters, Time: 40.0 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: New North Road, Instruction: Turn right onto New North Road, Distance: 4.9 meters, Time: 3.6 seconds
Name: George Street, Instruction: Turn left onto George Street, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Arrive at George Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
