Name: Chenies Mews, Instruction: Head northeast on Chenies Mews, Distance: 150.7 meters, Time: 108.5 seconds
Name: -, Instruction: Turn left, Distance: 42.1 meters, Time: 30.3 seconds
Name: Torrington Place, Instruction: Turn slight left onto Torrington Place, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: Gower Street, Instruction: Turn right onto Gower Street, Distance: 17.0 meters, Time: 12.3 seconds
Name: Torrington Place, Instruction: Turn left onto Torrington Place, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn right, Distance: 184.1 meters, Time: 132.6 seconds
Name: Torrington Square, Instruction: Turn left onto Torrington Square, Distance: 69.4 meters, Time: 50.0 seconds
Name: -, Instruction: Keep right, Distance: 71.9 meters, Time: 51.7 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 40.5 meters, Time: 29.2 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 39.5 meters, Time: 28.4 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn right, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 69.0 meters, Time: 49.7 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn slight right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn slight right, Distance: 211.5 meters, Time: 152.3 seconds
Name: -, Instruction: Turn left, Distance: 124.7 meters, Time: 89.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
