Name: South Picadilly Street, Instruction: Head north on South Picadilly Street, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 198.1 meters, Time: 142.6 seconds
Name: -, Instruction: Turn right, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn right, Distance: 206.9 meters, Time: 149.0 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 287.3 meters, Time: 206.8 seconds
Name: -, Instruction: Turn right, Distance: 186.9 meters, Time: 134.5 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
