Name: Sir John Jamison Circuit, Instruction: Head northeast on Sir John Jamison Circuit, Distance: 290.6 meters, Time: 209.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 285.8 meters, Time: 205.8 seconds
Name: -, Instruction: Turn left, Distance: 454.2 meters, Time: 327.0 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: Floribunda Avenue, Instruction: Turn right onto Floribunda Avenue, Distance: 430.1 meters, Time: 309.7 seconds
Name: Viola Place, Instruction: Turn slight left onto Viola Place, Distance: 106.3 meters, Time: 76.5 seconds
Name: -, Instruction: Turn slight right, Distance: 67.5 meters, Time: 48.6 seconds
Name: Devaney Avenue, Instruction: Turn left onto Devaney Avenue, Distance: 123.5 meters, Time: 88.9 seconds
Name: -, Instruction: Turn right, Distance: 71.0 meters, Time: 51.1 seconds
Name: Marcus Clarke Crescent, Instruction: Turn left onto Marcus Clarke Crescent, Distance: 159.3 meters, Time: 114.7 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 177.4 meters, Time: 127.7 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: The Lakes Drive, Instruction: Turn left onto The Lakes Drive, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 20.9 meters, Time: 15.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
