Name: Frere Avenue, Instruction: Head east on Frere Avenue, Distance: 47.6 meters, Time: 34.2 seconds
Name: Belgravia Avenue, Instruction: Turn left onto Belgravia Avenue, Distance: 201.4 meters, Time: 145.0 seconds
Name: Imam Haron Road, Instruction: Turn right onto Imam Haron Road, Distance: 136.0 meters, Time: 97.9 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 198.5 meters, Time: 142.9 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: Imam Haron Road, Instruction: Turn left onto Imam Haron Road, Distance: 180.8 meters, Time: 130.2 seconds
Name: Smuts Road, Instruction: Turn left onto Smuts Road, Distance: 127.1 meters, Time: 91.5 seconds
Name: Windsor Road, Instruction: Turn right onto Windsor Road, Distance: 199.4 meters, Time: 143.6 seconds
Name: Saint Aidan's Road, Instruction: Turn left onto Saint Aidan's Road, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Continue straight, Distance: 67.6 meters, Time: 48.7 seconds
Name: Clive Road, Instruction: Turn left onto Clive Road, Distance: 9.8 meters, Time: 7.1 seconds
Name: Hay Road, Instruction: Turn right onto Hay Road, Distance: 290.1 meters, Time: 208.9 seconds
Name: Burwood Road, Instruction: Turn right onto Burwood Road, Distance: 276.4 meters, Time: 199.0 seconds
Name: -, Instruction: Turn left, Distance: 152.3 meters, Time: 109.7 seconds
Name: Benona Road, Instruction: Turn right onto Benona Road, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 187.6 meters, Time: 135.0 seconds
Name: -, Instruction: Keep right, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Turn slight right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight left, Distance: 316.7 meters, Time: 228.0 seconds
Name: -, Instruction: Turn slight right, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 117.8 meters, Time: 84.8 seconds
Name: Belgravia Road, Instruction: Turn right onto Belgravia Road, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Arrive at Belgravia Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
