Name: Calle Tepecuentech, Instruction: Head northwest on Calle Tepecuentech, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn left, Distance: 505.4 meters, Time: 363.9 seconds
Name: Calle Violeta, Instruction: Turn right onto Calle Violeta, Distance: 64.8 meters, Time: 46.6 seconds
Name: Calle Violeta, Instruction: Turn left onto Calle Violeta, Distance: 76.9 meters, Time: 55.4 seconds
Name: Avenida San Isidro, Instruction: Turn left onto Avenida San Isidro, Distance: 19.3 meters, Time: 13.9 seconds
Name: Calle 3 de Mayo, Instruction: Keep right onto Calle 3 de Mayo, Distance: 380.0 meters, Time: 273.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 126.7 meters, Time: 91.2 seconds
Name: -, Instruction: Keep right, Distance: 70.5 meters, Time: 50.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 93.2 meters, Time: 67.1 seconds
Name: Calle de Xóchitl, Instruction: Turn sharp right onto Calle de Xóchitl, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Arrive at Calle de Xóchitl, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
