Name: Rua Doutor Rodrigues de Santana, Instruction: Head west on Rua Doutor Rodrigues de Santana, Distance: 25.7 meters, Time: 18.5 seconds
Name: Rua General Gustavo Cordeiro de Farias, Instruction: Turn right onto Rua General Gustavo Cordeiro de Farias, Distance: 68.5 meters, Time: 49.3 seconds
Name: Rua Senador Bernardo Monteiro, Instruction: Turn right onto Rua Senador Bernardo Monteiro, Distance: 180.2 meters, Time: 129.8 seconds
Name: -, Instruction: Keep right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: Rua Senador Bernardo Monteiro, Instruction: Turn right onto Rua Senador Bernardo Monteiro, Distance: 172.4 meters, Time: 124.1 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: Rua São Luiz Gonzaga, Instruction: Turn sharp left onto Rua São Luiz Gonzaga, Distance: 145.1 meters, Time: 104.5 seconds
Name: Rua Horácio Cardoso Franco, Instruction: Keep right onto Rua Horácio Cardoso Franco, Distance: 331.5 meters, Time: 238.7 seconds
Name: Avenida Carlos Matoso Correa, Instruction: Turn left onto Avenida Carlos Matoso Correa, Distance: 678.2 meters, Time: 488.3 seconds
Name: Rua Leopoldo Bulhões, Instruction: Turn slight right onto Rua Leopoldo Bulhões, Distance: 565.0 meters, Time: 406.8 seconds
Name: Rua Madiba, Instruction: Turn right onto Rua Madiba, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 81.9 meters, Time: 58.9 seconds
Name: -, Instruction: Continue straight, Distance: 38.0 meters, Time: 27.3 seconds
Name: -, Instruction: Turn left, Distance: 40.8 meters, Time: 29.4 seconds
Name: Rua Leopoldo Bulhões, Instruction: Turn right onto Rua Leopoldo Bulhões, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
