Name: Rue Henri Verneuil, Instruction: Head southeast on Rue Henri Verneuil, Distance: 93.4 meters, Time: 67.2 seconds
Name: -, Instruction: Turn right, Distance: 198.8 meters, Time: 143.1 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 194.3 meters, Time: 139.9 seconds
Name: -, Instruction: Turn slight left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 181.8 meters, Time: 130.9 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight left, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn right, Distance: 136.1 meters, Time: 98.0 seconds
Name: -, Instruction: Turn slight left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 116.9 meters, Time: 84.2 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn slight right, Distance: 37.7 meters, Time: 27.1 seconds
Name: -, Instruction: Turn slight right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Keep right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 143.6 meters, Time: 103.4 seconds
Name: -, Instruction: Turn slight left, Distance: 110.6 meters, Time: 79.6 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn left, Distance: 69.5 meters, Time: 50.0 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep right, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Rue du Rhin, Instruction: Turn sharp left onto Rue du Rhin, Distance: 14.0 meters, Time: 10.0 seconds
Name: -, Instruction: Arrive at Rue du Rhin, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
