Name: Front Street East, Instruction: Head west on Front Street East, Distance: 388.0 meters, Time: 279.3 seconds
Name: Trinity Street, Instruction: Turn right onto Trinity Street, Distance: 200.4 meters, Time: 144.3 seconds
Name: King Street East, Instruction: Turn left onto King Street East, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 59.0 meters, Time: 42.5 seconds
Name: Power Street, Instruction: Turn sharp right onto Power Street, Distance: 83.0 meters, Time: 59.8 seconds
Name: -, Instruction: Turn left, Distance: 75.0 meters, Time: 54.0 seconds
Name: -, Instruction: Turn right, Distance: 121.0 meters, Time: 87.1 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn slight right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 62.4 meters, Time: 45.0 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 130.7 meters, Time: 94.1 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 311.9 meters, Time: 224.6 seconds
Name: -, Instruction: Turn slight right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Keep right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Keep right, Distance: 334.2 meters, Time: 240.6 seconds
Name: Harbour Light Lane, Instruction: Turn right onto Harbour Light Lane, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 242.0 meters, Time: 174.2 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 109.9 meters, Time: 79.1 seconds
Name: -, Instruction: Turn left, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
