Name: Kenning Street, Instruction: Head northeast on Kenning Street, Distance: 70.2 meters, Time: 50.5 seconds
Name: Swan Road, Instruction: Turn right onto Swan Road, Distance: 216.3 meters, Time: 155.7 seconds
Name: -, Instruction: Turn slight left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Albatross Way, Instruction: Turn right onto Albatross Way, Distance: 239.7 meters, Time: 172.6 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn slight right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.8 meters, Time: 2.0 seconds
Name: Rafter Walk, Instruction: Turn right onto Rafter Walk, Distance: 184.2 meters, Time: 132.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 201.1 meters, Time: 144.8 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 197.7 meters, Time: 142.4 seconds
Name: -, Instruction: Turn slight right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 184.7 meters, Time: 133.0 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 39.0 meters, Time: 28.1 seconds
Name: Bush Road, A200, Instruction: Turn left onto Bush Road, A200, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn right, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
