Name: Hohenbrunner Straße, Instruction: Head northwest on Hohenbrunner Straße, Distance: 180.7 meters, Time: 130.1 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 236.3 meters, Time: 170.1 seconds
Name: -, Instruction: Keep left, Distance: 588.0 meters, Time: 423.4 seconds
Name: -, Instruction: Keep right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Keep left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Continue straight, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.8 seconds
Name: Bürgermeister-Schneider-Weg, Instruction: Turn left onto Bürgermeister-Schneider-Weg, Distance: 17.0 meters, Time: 12.2 seconds
Name: Bürgermeister-Schneider-Weg, Instruction: Continue straight onto Bürgermeister-Schneider-Weg, Distance: 294.3 meters, Time: 211.9 seconds
Name: -, Instruction: Keep right, Distance: 98.9 meters, Time: 71.2 seconds
Name: -, Instruction: Keep right, Distance: 183.8 meters, Time: 132.4 seconds
Name: -, Instruction: Keep right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Continue straight, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
