Name: Clinton Street, Instruction: Head south on Clinton Street, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 90.5 meters, Time: 65.2 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn slight left, Distance: 347.6 meters, Time: 250.3 seconds
Name: -, Instruction: Keep left, Distance: 90.5 meters, Time: 65.1 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 516.7 meters, Time: 372.0 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Keep right, Distance: 192.4 meters, Time: 138.5 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.4 seconds
Name: Humewood Drive, Instruction: Turn right onto Humewood Drive, Distance: 182.5 meters, Time: 131.4 seconds
Name: Humewood Gardens, Instruction: Turn left onto Humewood Gardens, Distance: 125.5 meters, Time: 90.3 seconds
Name: Rushton Road, Instruction: Turn right onto Rushton Road, Distance: 671.4 meters, Time: 483.4 seconds
Name: -, Instruction: Arrive at Rushton Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
