Name: Tennyson Road, Instruction: Head west on Tennyson Road, Distance: 244.8 meters, Time: 176.2 seconds
Name: -, Instruction: Turn left, Distance: 195.8 meters, Time: 141.0 seconds
Name: -, Instruction: Turn right, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.6 meters, Time: 11.2 seconds
Name: Muir Road, Instruction: Turn sharp right onto Muir Road, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn left, Distance: 55.6 meters, Time: 40.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 209.2 meters, Time: 150.6 seconds
Name: -, Instruction: Turn right, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Keep left, Distance: 50.2 meters, Time: 36.1 seconds
Name: Muir Road, Instruction: Turn left onto Muir Road, Distance: 131.2 meters, Time: 94.5 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: Worth Street, Instruction: Turn right onto Worth Street, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Arrive at Worth Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
