Name: Calle 63, Instruction: Head north on Calle 63, Distance: 10.5 meters, Time: 7.6 seconds
Name: Avenida Samuel Gompers, Instruction: Turn left onto Avenida Samuel Gompers, Distance: 673.0 meters, Time: 484.6 seconds
Name: Calle José Rodríguez González, Instruction: Turn right onto Calle José Rodríguez González, Distance: 20.3 meters, Time: 14.6 seconds
Name: Calle Marcelino Sedano, Instruction: Keep left onto Calle Marcelino Sedano, Distance: 696.9 meters, Time: 501.8 seconds
Name: Anillo Periférico, PERIF, Instruction: Turn sharp right onto Anillo Periférico, PERIF, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn left, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 56.1 meters, Time: 40.4 seconds
Name: Calle Revolución Social, Instruction: Turn right onto Calle Revolución Social, Distance: 62.6 meters, Time: 45.1 seconds
Name: Calle Revolución Social, Instruction: Continue straight onto Calle Revolución Social, Distance: 164.0 meters, Time: 118.1 seconds
Name: Calle Batallones Rojos, Instruction: Turn right onto Calle Batallones Rojos, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn left, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Continue straight, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Continue straight, Distance: 73.3 meters, Time: 52.8 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: Calle Universidad, Instruction: Turn right onto Calle Universidad, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 79.2 meters, Time: 57.0 seconds
Name: -, Instruction: Turn left, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 78.7 meters, Time: 56.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
