Name: شارع حمزة بن عبد المطلب, Instruction: Head southeast on شارع حمزة بن عبد المطلب, Distance: 67.9 meters, Time: 48.9 seconds
Name: شارع عبدالله بن عمر, Instruction: Turn left onto شارع عبدالله بن عمر, Distance: 239.0 meters, Time: 172.1 seconds
Name: -, Instruction: Keep left, Distance: 82.9 meters, Time: 59.7 seconds
Name: شارع طلعت مصطفى, Instruction: Turn right onto شارع طلعت مصطفى, Distance: 36.1 meters, Time: 26.0 seconds
Name: شارع عمرو بن العاص, Instruction: Enter the roundabout and take the 2nd exit onto شارع عمرو بن العاص, Distance: 408.6 meters, Time: 294.2 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: شارع عمرو بن العاص, Instruction: Turn left onto شارع عمرو بن العاص, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 39.7 meters, Time: 28.5 seconds
Name: -, Instruction: Turn slight right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Keep left, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Keep left, Distance: 36.1 meters, Time: 26.0 seconds
Name: شارع الرحاب, Instruction: Enter the roundabout and take the 3rd exit onto شارع الرحاب, Distance: 97.9 meters, Time: 70.5 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 130.0 meters, Time: 93.6 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: شارع الرحاب, Instruction: Turn right onto شارع الرحاب, Distance: 52.6 meters, Time: 37.9 seconds
Name: شارع الرحاب, Instruction: Enter the roundabout and take the 1st exit onto شارع الرحاب, Distance: 59.9 meters, Time: 43.2 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.9 seconds
Name: شارع الرحاب, Instruction: Turn right onto شارع الرحاب, Distance: 22.5 meters, Time: 16.2 seconds
Name: شارع الرحاب الجانبى, Instruction: Turn left onto شارع الرحاب الجانبى, Distance: 442.0 meters, Time: 318.3 seconds
Name: شارع الرحاب, Instruction: Turn sharp right onto شارع الرحاب, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: شارع الرحاب, Instruction: Turn right onto شارع الرحاب, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Arrive at شارع الرحاب, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
