Name: Govett Lane, Instruction: Head west on Govett Lane, Distance: 231.0 meters, Time: 166.3 seconds
Name: Govett Street, Instruction: Turn left onto Govett Street, Distance: 134.1 meters, Time: 96.6 seconds
Name: -, Instruction: Turn left, Distance: 337.5 meters, Time: 243.0 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: Darley Road shared use path, Instruction: Turn left onto Darley Road shared use path, Distance: 16.5 meters, Time: 11.9 seconds
Name: Darley Road, Instruction: Turn right onto Darley Road, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 86.2 meters, Time: 62.1 seconds
Name: -, Instruction: Turn slight right, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Keep left, Distance: 67.6 meters, Time: 48.7 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn left, Distance: 106.3 meters, Time: 76.6 seconds
Name: Alison Road Shared Path, Instruction: Turn right onto Alison Road Shared Path, Distance: 330.3 meters, Time: 237.8 seconds
Name: Alison Road Shared Path, Instruction: Continue straight onto Alison Road Shared Path, Distance: 351.1 meters, Time: 252.8 seconds
Name: -, Instruction: Turn left, Distance: 38.0 meters, Time: 27.3 seconds
Name: -, Instruction: Turn left, Distance: 45.6 meters, Time: 32.9 seconds
Name: -, Instruction: Keep right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 49.5 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 595.9 meters, Time: 429.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
