Name: Lassell Street, Instruction: Head southeast on Lassell Street, Distance: 102.0 meters, Time: 73.5 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.1 seconds
Name: Old Woolwich Road, Instruction: Turn right onto Old Woolwich Road, Distance: 230.8 meters, Time: 166.2 seconds
Name: Eastney Street, Instruction: Turn left onto Eastney Street, Distance: 6.1 meters, Time: 4.4 seconds
Name: Old Woolwich Road, Instruction: Turn right onto Old Woolwich Road, Distance: 67.4 meters, Time: 48.5 seconds
Name: Park Row, Instruction: Turn right onto Park Row, Distance: 41.7 meters, Time: 30.0 seconds
Name: College Way, Instruction: Turn left onto College Way, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 389.8 meters, Time: 280.6 seconds
Name: -, Instruction: Turn left, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Turn slight left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 33.7 meters, Time: 24.2 seconds
Name: Welland Street, Instruction: Turn left onto Welland Street, Distance: 137.9 meters, Time: 99.3 seconds
Name: -, Instruction: Turn right, Distance: 53.5 meters, Time: 38.6 seconds
Name: Thames Street, Instruction: Turn right onto Thames Street, Distance: 136.2 meters, Time: 98.1 seconds
Name: -, Instruction: Keep right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Thames Street, Instruction: Turn right onto Thames Street, Distance: 35.7 meters, Time: 25.7 seconds
Name: Victoria Parade, Instruction: Turn right onto Victoria Parade, Distance: 10.5 meters, Time: 7.5 seconds
Name: Dowells Street, Instruction: Turn left onto Dowells Street, Distance: 145.1 meters, Time: 104.5 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Continue straight, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Continue straight, Distance: 33.3 meters, Time: 23.9 seconds
Name: -, Instruction: Continue straight, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Turn right, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: Marlowe Path, Instruction: Turn right onto Marlowe Path, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn right, Distance: 47.2 meters, Time: 34.0 seconds
Name: Glaisher Street, Instruction: Continue straight onto Glaisher Street, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Arrive at Glaisher Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
