Name: Taman Selamat, Instruction: Head west on Taman Selamat, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 54.5 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn left, Distance: 395.5 meters, Time: 284.7 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 155.6 meters, Time: 112.1 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 645.1 meters, Time: 464.5 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 523.3 meters, Time: 376.8 seconds
Name: -, Instruction: Turn left, Distance: 50.1 meters, Time: 36.1 seconds
Name: Dunbar Walk, Instruction: Turn right onto Dunbar Walk, Distance: 200.5 meters, Time: 144.3 seconds
Name: -, Instruction: Arrive at Dunbar Walk, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
