Name: Adolf-Kolping-Straße, Instruction: Head west on Adolf-Kolping-Straße, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 198.9 meters, Time: 143.2 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Keep left, Distance: 295.8 meters, Time: 212.9 seconds
Name: -, Instruction: Turn slight right, Distance: 26.3 meters, Time: 19.0 seconds
Name: Arnulfstraße, Instruction: Turn right onto Arnulfstraße, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Keep right, Distance: 167.3 meters, Time: 120.4 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Keep right, Distance: 14.6 meters, Time: 10.5 seconds
Name: Marsstraße, Instruction: Turn left onto Marsstraße, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 158.2 meters, Time: 113.9 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Dachauer Straße, Instruction: Turn left onto Dachauer Straße, Distance: 12.6 meters, Time: 9.1 seconds
Name: Augustenstraße, Instruction: Keep right onto Augustenstraße, Distance: 318.4 meters, Time: 229.2 seconds
Name: Augustenstraße, Instruction: Continue straight onto Augustenstraße, Distance: 504.4 meters, Time: 363.2 seconds
Name: -, Instruction: Turn right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
