Name: Muscovy Street, Instruction: Head east on Muscovy Street, Distance: 7.6 meters, Time: 5.4 seconds
Name: Seething Lane, Instruction: Turn right onto Seething Lane, Distance: 25.9 meters, Time: 18.7 seconds
Name: Byward Street, Instruction: Turn right onto Byward Street, Distance: 65.9 meters, Time: 47.5 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: Great Tower Street, Instruction: Turn right onto Great Tower Street, Distance: 8.3 meters, Time: 5.9 seconds
Name: Byward Street, Instruction: Turn left onto Byward Street, Distance: 420.8 meters, Time: 303.0 seconds
Name: Lower Thames Street, Instruction: Turn left onto Lower Thames Street, Distance: 146.0 meters, Time: 105.1 seconds
Name: Upper Thames Street, Instruction: Turn left onto Upper Thames Street, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 28.7 meters, Time: 20.6 seconds
Name: Upper Thames Street, Instruction: Turn right onto Upper Thames Street, Distance: 50.5 meters, Time: 36.3 seconds
Name: Upper Thames Street, Instruction: Continue straight onto Upper Thames Street, Distance: 273.3 meters, Time: 196.7 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 90.5 meters, Time: 65.1 seconds
Name: -, Instruction: Keep left, Distance: 245.5 meters, Time: 176.7 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.7 seconds
Name: Bankside, Instruction: Continue straight onto Bankside, Distance: 163.4 meters, Time: 117.7 seconds
Name: -, Instruction: Keep right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Keep left, Distance: 67.3 meters, Time: 48.4 seconds
Name: -, Instruction: Turn left, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
