Name: Calle Pico de Peñalara, Instruction: Head northwest on Calle Pico de Peñalara, Distance: 14.5 meters, Time: 10.5 seconds
Name: Calle Pico de Sorata, Instruction: Turn left onto Calle Pico de Sorata, Distance: 195.5 meters, Time: 140.8 seconds
Name: Calle Sierra de Saslaya, Instruction: Turn right onto Calle Sierra de Saslaya, Distance: 280.6 meters, Time: 202.0 seconds
Name: -, Instruction: Keep left, Distance: 25.1 meters, Time: 18.1 seconds
Name: Calle Pico de Sorata, Instruction: Turn left onto Calle Pico de Sorata, Distance: 25.4 meters, Time: 18.3 seconds
Name: Calle Pico de Turquino, Instruction: Turn right onto Calle Pico de Turquino, Distance: 147.0 meters, Time: 105.9 seconds
Name: Boulevard Picacho Ajusco, Instruction: Turn left onto Boulevard Picacho Ajusco, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 51.0 meters, Time: 36.8 seconds
Name: -, Instruction: Turn slight left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn left, Distance: 27.2 meters, Time: 19.6 seconds
Name: Boulevard Picacho Ajusco, Instruction: Turn right onto Boulevard Picacho Ajusco, Distance: 49.5 meters, Time: 35.7 seconds
Name: -, Instruction: Keep right, Distance: 121.4 meters, Time: 87.4 seconds
Name: Boulevard Picacho Ajusco, Instruction: Turn right onto Boulevard Picacho Ajusco, Distance: 44.7 meters, Time: 32.1 seconds
Name: -, Instruction: Turn right, Distance: 49.0 meters, Time: 35.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
