Name: Rue de Bellevue, Instruction: Head north on Rue de Bellevue, Distance: 67.5 meters, Time: 48.6 seconds
Name: Avenue du Maréchal Juin, Instruction: Turn right onto Avenue du Maréchal Juin, Distance: 134.9 meters, Time: 97.1 seconds
Name: Rue de Silly, Instruction: Turn left onto Rue de Silly, Distance: 263.8 meters, Time: 190.0 seconds
Name: Rue de Silly, Instruction: Turn slight left onto Rue de Silly, Distance: 104.0 meters, Time: 74.9 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 82.6 meters, Time: 59.5 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn slight left, Distance: 15.6 meters, Time: 11.2 seconds
Name: Rue du 6 Juin 1944, Instruction: Turn right onto Rue du 6 Juin 1944, Distance: 25.8 meters, Time: 18.6 seconds
Name: Rue de l'Ancienne Mairie, Instruction: Turn left onto Rue de l'Ancienne Mairie, Distance: 209.3 meters, Time: 150.7 seconds
Name: Rue de l'Ancienne Mairie, Instruction: Continue straight onto Rue de l'Ancienne Mairie, Distance: 312.1 meters, Time: 224.7 seconds
Name: Rue de Billancourt, Instruction: Turn slight left onto Rue de Billancourt, Distance: 340.4 meters, Time: 245.1 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
