Name: Rathausstraße, Instruction: Head northwest on Rathausstraße, Distance: 0.2 meters, Time: 0.1 seconds
Name: Wolf-Ferrari-Weg, Instruction: Turn right onto Wolf-Ferrari-Weg, Distance: 83.2 meters, Time: 59.9 seconds
Name: Eduard-Klas-Weg, Instruction: Turn left onto Eduard-Klas-Weg, Distance: 58.0 meters, Time: 41.8 seconds
Name: -, Instruction: Turn right, Distance: 90.9 meters, Time: 65.4 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 84.6 meters, Time: 60.9 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 522.1 meters, Time: 375.9 seconds
Name: -, Instruction: Turn slight left, Distance: 269.9 meters, Time: 194.3 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: Cramer-Klett-Straße, Instruction: Turn left onto Cramer-Klett-Straße, Distance: 475.8 meters, Time: 342.6 seconds
Name: Kyffhäuserstraße, Instruction: Turn right onto Kyffhäuserstraße, Distance: 455.8 meters, Time: 328.2 seconds
Name: -, Instruction: Arrive at Kyffhäuserstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
