Name: To Street Parking, Instruction: Head south on To Street Parking, Distance: 36.9 meters, Time: 26.6 seconds
Name: Farm Access, Instruction: Turn left onto Farm Access, Distance: 47.5 meters, Time: 34.2 seconds
Name: Farm Access, Instruction: Keep right onto Farm Access, Distance: 43.3 meters, Time: 31.2 seconds
Name: Lower Road, Instruction: Keep left onto Lower Road, Distance: 5.6 meters, Time: 4.0 seconds
Name: Lower Road, Instruction: Continue straight onto Lower Road, Distance: 94.1 meters, Time: 67.8 seconds
Name: Lower Road, Instruction: Continue straight onto Lower Road, Distance: 35.3 meters, Time: 25.4 seconds
Name: Riverdale Park Crossing, Instruction: Turn slight left onto Riverdale Park Crossing, Distance: 236.1 meters, Time: 170.0 seconds
Name: Woodchip Path, Instruction: Turn left onto Woodchip Path, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Keep right, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Keep right, Distance: 66.1 meters, Time: 47.6 seconds
Name: Woodchip Path, Instruction: Turn slight right onto Woodchip Path, Distance: 89.8 meters, Time: 64.6 seconds
Name: Riverdale Trail, Instruction: Turn slight left onto Riverdale Trail, Distance: 448.7 meters, Time: 323.0 seconds
Name: Riverdale Trail, Instruction: Keep right onto Riverdale Trail, Distance: 191.5 meters, Time: 137.9 seconds
Name: -, Instruction: Keep left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Keep right, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Keep left, Distance: 16.9 meters, Time: 12.2 seconds
Name: Riverdale Trail, Instruction: Turn slight left onto Riverdale Trail, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Keep right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
