Name: Harry Gwala Street, Instruction: Head south on Harry Gwala Street, Distance: 14.1 meters, Time: 10.2 seconds
Name: Stanford Dyosini Road, Instruction: Turn left onto Stanford Dyosini Road, Distance: 253.4 meters, Time: 182.4 seconds
Name: Njoli Avenue, Instruction: Keep right onto Njoli Avenue, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn slight left, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn slight right, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
