Name: Anson Road, Instruction: Head northeast on Anson Road, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 96.9 meters, Time: 69.8 seconds
Name: -, Instruction: Turn left, Distance: 113.9 meters, Time: 82.0 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 78.1 meters, Time: 56.2 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 330.8 meters, Time: 238.2 seconds
Name: -, Instruction: Turn slight left, Distance: 168.1 meters, Time: 121.0 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 48.4 meters, Time: 34.9 seconds
Name: -, Instruction: Turn right, Distance: 27.4 meters, Time: 19.7 seconds
Name: Spring Street, Instruction: Turn sharp left onto Spring Street, Distance: 71.0 meters, Time: 51.1 seconds
Name: Banda Street, Instruction: Turn right onto Banda Street, Distance: 44.3 meters, Time: 31.9 seconds
Name: Sago Lane, Instruction: Continue straight onto Sago Lane, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Continue straight, Distance: 42.8 meters, Time: 30.8 seconds
Name: Sago Street, Instruction: Turn left onto Sago Street, Distance: 96.8 meters, Time: 69.7 seconds
Name: Smith Street, Instruction: Turn left onto Smith Street, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 213.9 meters, Time: 154.0 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Keep right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Turn right, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Turn slight right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn slight right, Distance: 134.6 meters, Time: 96.9 seconds
Name: Havelock Square, Instruction: Turn left onto Havelock Square, Distance: 50.6 meters, Time: 36.5 seconds
Name: -, Instruction: Keep right, Distance: 44.8 meters, Time: 32.3 seconds
Name: New Market Road, Instruction: Turn slight right onto New Market Road, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn left, Distance: 123.0 meters, Time: 88.6 seconds
Name: Keng Cheow Street, Instruction: Turn right onto Keng Cheow Street, Distance: 61.9 meters, Time: 44.6 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: Cummins Street, Instruction: Continue straight onto Cummins Street, Distance: 92.5 meters, Time: 66.6 seconds
Name: -, Instruction: Turn right, Distance: 79.0 meters, Time: 56.9 seconds
Name: -, Instruction: Turn left, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
