Name: Beach Road, Instruction: Head west on Beach Road, Distance: 112.6 meters, Time: 81.1 seconds
Name: Ronald Avenue, Instruction: Turn right onto Ronald Avenue, Distance: 530.1 meters, Time: 381.7 seconds
Name: Hill Road, Instruction: Turn slight right onto Hill Road, Distance: 104.5 meters, Time: 75.3 seconds
Name: Hill Road, Instruction: Keep right onto Hill Road, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: McLarin Road, Instruction: Turn right onto McLarin Road, Distance: 410.8 meters, Time: 295.8 seconds
Name: Orawahi Road, Instruction: Enter the roundabout and take the 2nd exit onto Orawahi Road, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 117.7 meters, Time: 84.8 seconds
Name: -, Instruction: Turn right, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
