Name: Maltings Place, Instruction: Head east on Maltings Place, Distance: 3.7 meters, Time: 2.7 seconds
Name: Roper Lane, Instruction: Turn right onto Roper Lane, Distance: 9.1 meters, Time: 6.6 seconds
Name: Roper Lane, Instruction: Keep left onto Roper Lane, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 197.1 meters, Time: 141.9 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: Tooley Street, Instruction: Turn right onto Tooley Street, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: Queen Elizabeth Street, Instruction: Turn right onto Queen Elizabeth Street, Distance: 496.0 meters, Time: 357.1 seconds
Name: -, Instruction: Turn left, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Keep right, Distance: 63.0 meters, Time: 45.4 seconds
Name: Cloister Walk, Instruction: Turn slight left onto Cloister Walk, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Turn left, Distance: 103.1 meters, Time: 74.2 seconds
Name: -, Instruction: Turn left, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Turn left, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Keep right, Distance: 26.1 meters, Time: 18.8 seconds
Name: St. Katharine Docks, Instruction: Turn slight left onto St. Katharine Docks, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 237.2 meters, Time: 170.8 seconds
Name: East Smithfield, Instruction: Turn slight right onto East Smithfield, Distance: 29.2 meters, Time: 21.0 seconds
Name: The Highway, Instruction: Turn right onto The Highway, Distance: 779.4 meters, Time: 561.1 seconds
Name: -, Instruction: Arrive at The Highway, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
