Name: Ixia Road, Instruction: Head east on Ixia Road, Distance: 301.3 meters, Time: 217.0 seconds
Name: Oxalis Street, Instruction: Turn left onto Oxalis Street, Distance: 262.2 meters, Time: 188.8 seconds
Name: -, Instruction: Turn left, Distance: 57.4 meters, Time: 41.4 seconds
Name: -, Instruction: Turn right, Distance: 209.9 meters, Time: 151.1 seconds
Name: -, Instruction: Turn left, Distance: 30.1 meters, Time: 21.6 seconds
Name: Racecourse Road, Instruction: Turn right onto Racecourse Road, Distance: 148.9 meters, Time: 107.2 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 53.0 meters, Time: 38.1 seconds
Name: Racecourse Road, Instruction: Turn right onto Racecourse Road, Distance: 308.3 meters, Time: 222.0 seconds
Name: -, Instruction: Turn right, Distance: 155.4 meters, Time: 111.9 seconds
Name: -, Instruction: Turn left, Distance: 81.6 meters, Time: 58.8 seconds
Name: -, Instruction: Turn right, Distance: 216.9 meters, Time: 156.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
