Name: Hastings Avenue, Instruction: Head south on Hastings Avenue, Distance: 223.8 meters, Time: 161.2 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn right, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 141.3 meters, Time: 101.7 seconds
Name: -, Instruction: Keep right, Distance: 377.1 meters, Time: 271.5 seconds
Name: -, Instruction: Keep right, Distance: 152.0 meters, Time: 109.4 seconds
Name: -, Instruction: Keep right, Distance: 93.4 meters, Time: 67.3 seconds
Name: -, Instruction: Keep right, Distance: 125.7 meters, Time: 90.5 seconds
Name: -, Instruction: Turn slight right, Distance: 477.8 meters, Time: 344.0 seconds
Name: -, Instruction: Keep right, Distance: 339.8 meters, Time: 244.7 seconds
Name: -, Instruction: Keep right, Distance: 145.8 meters, Time: 105.0 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: Munro Street, Instruction: Turn left onto Munro Street, Distance: 73.2 meters, Time: 52.7 seconds
Name: Mary Ann Shadd Lane, Instruction: Turn right onto Mary Ann Shadd Lane, Distance: 29.6 meters, Time: 21.3 seconds
Name: Florence Wyle Lane, Instruction: Turn left onto Florence Wyle Lane, Distance: 76.7 meters, Time: 55.2 seconds
Name: Doris Anderson Court, Instruction: Turn slight right onto Doris Anderson Court, Distance: 6.7 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
