Name: Griffiths Road, Instruction: Head west on Griffiths Road, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 344.2 meters, Time: 247.8 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 195.3 meters, Time: 140.6 seconds
Name: -, Instruction: Keep right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn slight left, Distance: 669.1 meters, Time: 481.8 seconds
Name: -, Instruction: Keep left, Distance: 411.7 meters, Time: 296.4 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Continue straight, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 280.7 meters, Time: 202.1 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: Morden Hall Road, Instruction: Turn left onto Morden Hall Road, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: Bardney Road, Instruction: Turn left onto Bardney Road, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at Bardney Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
