Name: Pope Close, Instruction: Head north on Pope Close, Distance: 5.5 meters, Time: 4.0 seconds
Name: North Road, Instruction: Turn left onto North Road, Distance: 122.0 meters, Time: 87.8 seconds
Name: Burns Close, Instruction: Turn left onto Burns Close, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 47.8 meters, Time: 34.4 seconds
Name: Mead Path, Instruction: Turn left onto Mead Path, Distance: 69.6 meters, Time: 50.1 seconds
Name: Boundary Road, Instruction: Continue straight onto Boundary Road, Distance: 128.5 meters, Time: 92.5 seconds
Name: Denison Road, Instruction: Turn right onto Denison Road, Distance: 8.3 meters, Time: 5.9 seconds
Name: Byegrove Road, Instruction: Turn slight left onto Byegrove Road, Distance: 184.6 meters, Time: 132.9 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Continue straight, Distance: 129.6 meters, Time: 93.3 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight right, Distance: 7.8 meters, Time: 5.6 seconds
Name: Christchurch Road, Instruction: Turn left onto Christchurch Road, Distance: 69.5 meters, Time: 50.0 seconds
Name: -, Instruction: Arrive at Christchurch Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
