Name: Yio Chu Kang Road, Instruction: Head south on Yio Chu Kang Road, Distance: 26.4 meters, Time: 19.0 seconds
Name: Buangkok Park Connector, Instruction: Turn left onto Buangkok Park Connector, Distance: 22.6 meters, Time: 16.3 seconds
Name: Buangkok Park Connector, Instruction: Turn slight left onto Buangkok Park Connector, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Keep right, Distance: 126.2 meters, Time: 90.8 seconds
Name: -, Instruction: Keep right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Buangkok Park Connector, Instruction: Keep left onto Buangkok Park Connector, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 50.5 meters, Time: 36.3 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 47.3 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 314.5 meters, Time: 226.4 seconds
Name: -, Instruction: Turn left, Distance: 105.6 meters, Time: 76.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Keep left, Distance: 2.1 meters, Time: 1.5 seconds
Name: Hougang Street 93, Instruction: Turn right onto Hougang Street 93, Distance: 1.9 meters, Time: 1.4 seconds
Name: Hougang Street 91, Instruction: Turn left onto Hougang Street 91, Distance: 303.4 meters, Time: 218.5 seconds
Name: Hougang Street 91, Instruction: Continue straight onto Hougang Street 91, Distance: 149.1 meters, Time: 107.4 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 471.7 meters, Time: 339.6 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: Hougang Street 52, Instruction: Turn right onto Hougang Street 52, Distance: 87.7 meters, Time: 63.1 seconds
Name: Cycle Path Network, Instruction: Turn left onto Cycle Path Network, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 296.8 meters, Time: 213.7 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
