Name: Bessborough Drive, Instruction: Head south on Bessborough Drive, Distance: 5.7 meters, Time: 4.1 seconds
Name: Broadway Avenue, Instruction: Turn right onto Broadway Avenue, Distance: 956.3 meters, Time: 688.6 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 273.4 meters, Time: 196.8 seconds
Name: -, Instruction: Turn right, Distance: 168.7 meters, Time: 121.5 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 272.9 meters, Time: 196.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 577.8 meters, Time: 416.0 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 93.5 meters, Time: 67.3 seconds
Name: Albertus Avenue, Instruction: Turn right onto Albertus Avenue, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at Albertus Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
