Name: Rua Uruguai, Instruction: Head northwest on Rua Uruguai, Distance: 91.2 meters, Time: 65.7 seconds
Name: Rua Homem de Melo, Instruction: Turn right onto Rua Homem de Melo, Distance: 154.0 meters, Time: 110.9 seconds
Name: Rua Itacuruçá, Instruction: Turn left onto Rua Itacuruçá, Distance: 270.0 meters, Time: 194.4 seconds
Name: Rua Conde de Bonfim, Instruction: Turn left onto Rua Conde de Bonfim, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: Rua Conde de Bonfim, Instruction: Turn right onto Rua Conde de Bonfim, Distance: 13.1 meters, Time: 9.4 seconds
Name: Rua Dona Delfina, Instruction: Turn left onto Rua Dona Delfina, Distance: 284.3 meters, Time: 204.7 seconds
Name: Avenida Maracanã, Instruction: Turn right onto Avenida Maracanã, Distance: 103.0 meters, Time: 74.2 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 49.4 meters, Time: 35.5 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: Rua José Higino, Instruction: Turn right onto Rua José Higino, Distance: 15.1 meters, Time: 10.9 seconds
Name: Rua Antônio Basílio, Instruction: Turn left onto Rua Antônio Basílio, Distance: 636.2 meters, Time: 458.1 seconds
Name: Rua Soriano de Sousa, Instruction: Turn sharp left onto Rua Soriano de Sousa, Distance: 149.4 meters, Time: 107.6 seconds
Name: Rua Barão de Mesquita, Instruction: Turn right onto Rua Barão de Mesquita, Distance: 2.7 meters, Time: 2.0 seconds
Name: Rua Barão de Mesquita, Instruction: Continue straight onto Rua Barão de Mesquita, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 50.6 meters, Time: 36.4 seconds
Name: -, Instruction: Keep left, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 135.5 meters, Time: 97.6 seconds
Name: -, Instruction: Turn left, Distance: 76.3 meters, Time: 54.9 seconds
Name: Rua Ribeiro Guimarães, Instruction: Turn left onto Rua Ribeiro Guimarães, Distance: 301.2 meters, Time: 216.9 seconds
Name: Rua Dona Maria, Instruction: Turn right onto Rua Dona Maria, Distance: 108.3 meters, Time: 78.0 seconds
Name: -, Instruction: Arrive at Rua Dona Maria, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
