Name: Andrew Road, Instruction: Head southwest on Andrew Road, Distance: 742.7 meters, Time: 534.7 seconds
Name: -, Instruction: Turn right, Distance: 354.6 meters, Time: 255.3 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 447.0 meters, Time: 321.8 seconds
Name: -, Instruction: Turn right, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Turn slight right, Distance: 21.5 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 247.4 meters, Time: 178.2 seconds
Name: -, Instruction: Turn right, Distance: 48.4 meters, Time: 34.8 seconds
Name: -, Instruction: Turn slight right, Distance: 187.3 meters, Time: 134.8 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: Novena Rise, Instruction: Turn left onto Novena Rise, Distance: 34.3 meters, Time: 24.7 seconds
Name: Jalan Novena Utara, Instruction: Turn right onto Jalan Novena Utara, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 175.7 meters, Time: 126.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
