Name: Swan Lane, Instruction: Head southwest on Swan Lane, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight right, Distance: 67.3 meters, Time: 48.4 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 687.2 meters, Time: 494.8 seconds
Name: Henderson Creek shared path, Instruction: Turn right onto Henderson Creek shared path, Distance: 177.2 meters, Time: 127.6 seconds
Name: Henderson Creek shared path, Instruction: Turn left onto Henderson Creek shared path, Distance: 903.9 meters, Time: 650.8 seconds
Name: -, Instruction: Keep right, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: Thomas Rea Place, Instruction: Continue straight onto Thomas Rea Place, Distance: 83.2 meters, Time: 59.9 seconds
Name: Flanshaw Road, Instruction: Turn left onto Flanshaw Road, Distance: 12.0 meters, Time: 8.6 seconds
Name: Paton Avenue, Instruction: Turn right onto Paton Avenue, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Turn slight left, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Marewa Street, Instruction: Turn left onto Marewa Street, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Arrive at Marewa Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
