Name: شارع نجيب محفوظ, Instruction: Head northwest on شارع نجيب محفوظ, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 129.3 meters, Time: 93.1 seconds
Name: شارع الرحاب, Instruction: Turn right onto شارع الرحاب, Distance: 331.3 meters, Time: 238.5 seconds
Name: -, Instruction: Turn right, Distance: 161.9 meters, Time: 116.6 seconds
Name: شارع الرحاب, Instruction: Turn right onto شارع الرحاب, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: شارع الرحاب, Instruction: Turn right onto شارع الرحاب, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 67.6 meters, Time: 48.6 seconds
Name: -, Instruction: Turn right, Distance: 44.6 meters, Time: 32.1 seconds
Name: شارع انس بن مالك, Instruction: Turn left onto شارع انس بن مالك, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 565.9 meters, Time: 407.4 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Keep right, Distance: 82.1 meters, Time: 59.1 seconds
Name: شارع طلعت مصطفى, Instruction: Turn right onto شارع طلعت مصطفى, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: شارع طلعت مصطفى, Instruction: Turn right onto شارع طلعت مصطفى, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Turn left, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
