Name: Curd-Jürgens-Straße, Instruction: Head east on Curd-Jürgens-Straße, Distance: 43.8 meters, Time: 31.5 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Continue straight, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Keep right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn slight right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 151.6 meters, Time: 109.1 seconds
Name: -, Instruction: Turn slight right, Distance: 715.4 meters, Time: 515.1 seconds
Name: -, Instruction: Turn left, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 85.2 meters, Time: 61.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 31.7 meters, Time: 22.8 seconds
Name: Bürgermeister-Schneider-Weg, Instruction: Turn right onto Bürgermeister-Schneider-Weg, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Arrive at Bürgermeister-Schneider-Weg, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
