Name: Govett Lane, Instruction: Head west on Govett Lane, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 180.3 meters, Time: 129.8 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: King Street, Instruction: Turn right onto King Street, Distance: 15.7 meters, Time: 11.3 seconds
Name: Church Street, Instruction: Turn left onto Church Street, Distance: 187.7 meters, Time: 135.2 seconds
Name: Church Street, Instruction: Enter the roundabout and take the 2nd exit onto Church Street, Distance: 355.7 meters, Time: 256.1 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 25.2 meters, Time: 18.2 seconds
Name: -, Instruction: Turn left, Distance: 254.0 meters, Time: 182.9 seconds
Name: -, Instruction: Turn right, Distance: 92.0 meters, Time: 66.2 seconds
Name: -, Instruction: Turn slight right, Distance: 71.6 meters, Time: 51.6 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: Arthur Street, Instruction: Turn right onto Arthur Street, Distance: 17.3 meters, Time: 12.5 seconds
Name: Wansey Road, Instruction: Turn left onto Wansey Road, Distance: 133.0 meters, Time: 95.7 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: Wansey Road Shared Path, Instruction: Turn left onto Wansey Road Shared Path, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Continue straight, Distance: 121.0 meters, Time: 87.1 seconds
Name: -, Instruction: Turn left, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Turn right, Distance: 105.0 meters, Time: 75.6 seconds
Name: University Walk, Instruction: Turn right onto University Walk, Distance: 34.6 meters, Time: 24.9 seconds
Name: University Walk, Instruction: Turn left onto University Walk, Distance: 17.3 meters, Time: 12.5 seconds
Name: Basser Steps, Instruction: Turn right onto Basser Steps, Distance: 34.9 meters, Time: 25.1 seconds
Name: Basser Steps, Instruction: Continue straight onto Basser Steps, Distance: 46.6 meters, Time: 33.6 seconds
Name: -, Instruction: Turn left, Distance: 109.0 meters, Time: 78.5 seconds
Name: -, Instruction: Turn left, Distance: 37.5 meters, Time: 27.0 seconds
Name: University Mall, Instruction: Turn right onto University Mall, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 35.8 meters, Time: 25.7 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
