Name: Lascelles Boulevard, Instruction: Head north on Lascelles Boulevard, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Keep right, Distance: 164.6 meters, Time: 118.5 seconds
Name: -, Instruction: Turn right, Distance: 59.0 meters, Time: 42.4 seconds
Name: Edith Drive, Instruction: Turn left onto Edith Drive, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 201.6 meters, Time: 145.1 seconds
Name: -, Instruction: Turn left, Distance: 146.5 meters, Time: 105.4 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Duplex Avenue, Instruction: Turn left onto Duplex Avenue, Distance: 3.7 meters, Time: 2.6 seconds
Name: Montgomery Avenue, Instruction: Turn right onto Montgomery Avenue, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 149.4 meters, Time: 107.5 seconds
Name: -, Instruction: Turn right, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
