Name: Rosenweg, Instruction: Head west on Rosenweg, Distance: 106.9 meters, Time: 77.0 seconds
Name: Kufsteiner Straße, Instruction: Turn left onto Kufsteiner Straße, Distance: 566.0 meters, Time: 407.5 seconds
Name: Aggensteinstraße, Instruction: Continue straight onto Aggensteinstraße, Distance: 97.1 meters, Time: 69.9 seconds
Name: -, Instruction: Turn left, Distance: 412.5 meters, Time: 297.0 seconds
Name: -, Instruction: Continue straight, Distance: 6.0 meters, Time: 4.3 seconds
Name: Wallbergstraße, Instruction: Turn left onto Wallbergstraße, Distance: 36.2 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 63.8 meters, Time: 45.9 seconds
Name: -, Instruction: Turn right, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn left, Distance: 72.5 meters, Time: 52.2 seconds
Name: Wettersteinring, Instruction: Turn left onto Wettersteinring, Distance: 19.2 meters, Time: 13.9 seconds
Name: Wettersteinring, Instruction: Turn slight right onto Wettersteinring, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Continue straight, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
