Name: Jurong West Street 41, Instruction: Head west on Jurong West Street 41, Distance: 88.3 meters, Time: 63.6 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 48.8 meters, Time: 35.1 seconds
Name: -, Instruction: Turn slight left, Distance: 470.8 meters, Time: 339.0 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.1 seconds
Name: Lakeside Plaza, Instruction: Turn right onto Lakeside Plaza, Distance: 32.1 meters, Time: 23.1 seconds
Name: Jurong Park Connector, Instruction: Continue straight onto Jurong Park Connector, Distance: 385.3 meters, Time: 277.4 seconds
Name: -, Instruction: Keep right, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Keep right, Distance: 336.9 meters, Time: 242.5 seconds
Name: -, Instruction: Turn slight left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 440.3 meters, Time: 317.0 seconds
Name: -, Instruction: Keep left, Distance: 12.1 meters, Time: 8.7 seconds
Name: Ho Ching Road, Instruction: Turn left onto Ho Ching Road, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at Ho Ching Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
