Name: Robin Road, Instruction: Head northeast on Robin Road, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 242.1 meters, Time: 174.3 seconds
Name: Stevens Drive, Instruction: Turn right onto Stevens Drive, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 116.5 meters, Time: 83.9 seconds
Name: -, Instruction: Turn right, Distance: 178.7 meters, Time: 128.7 seconds
Name: -, Instruction: Turn left, Distance: 139.8 meters, Time: 100.7 seconds
Name: -, Instruction: Turn left, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Keep right, Distance: 87.9 meters, Time: 63.3 seconds
Name: -, Instruction: Turn left, Distance: 30.5 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 119.6 meters, Time: 86.1 seconds
Name: -, Instruction: Turn slight right, Distance: 68.3 meters, Time: 49.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
