Name: Avenida Carlos Zara, Instruction: Head east on Avenida Carlos Zara, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Keep left, Distance: 132.3 meters, Time: 95.3 seconds
Name: -, Instruction: Turn right, Distance: 180.9 meters, Time: 130.2 seconds
Name: Avenida Embaixador Abelardo Bueno, Instruction: Turn slight left onto Avenida Embaixador Abelardo Bueno, Distance: 326.0 meters, Time: 234.7 seconds
Name: -, Instruction: Turn right, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn left, Distance: 292.9 meters, Time: 210.9 seconds
Name: -, Instruction: Turn right, Distance: 243.4 meters, Time: 175.3 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 74.8 meters, Time: 53.9 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 63.4 meters, Time: 45.7 seconds
Name: Estrada Coronel Pedro Corrêa, Instruction: Turn slight left onto Estrada Coronel Pedro Corrêa, Distance: 71.5 meters, Time: 51.5 seconds
Name: -, Instruction: Keep right, Distance: 23.8 meters, Time: 17.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
